,0
0,安息香脂
1,零陵香豆
2,焚香
3,麝香
4,香草
5,雪松
6,琥珀
7,百合
8,檀香木
9,皮革
10,橘子
11,小豆蔻
12,紫罗兰
13,老鹳草
14,烟草
15,冷杉
16,无花果
17,香根草
18,茉莉
19,玫瑰
20,愈创木
21,沉香(乌木)
22,柠檬
23,橙花
24,柑橘
25,香柠檬
26,葡萄柚
27,菠萝
28,龙涎香
29,橡木苔
30,李子
31,康乃馨
32,铃兰
33,紫丁香
34,兰花
35,木质香
36,青柠
37,橙子
38,绿叶
39,白色花系
40,柠檬马鞭草
41,海水
42,迷迭香
43,海藻
44,香瓜
45,金雀花
46,含羞草
47,花香
48,热带水果
49,栀子花
50,鸡蛋花
51,木槿
52,辛香料
53,草桂花
54,蕨类植物
55,薰衣草
56,伏特加
57,生姜
58,西瓜
59,牡丹
60,洋甘菊
61,朗姆酒
62,胡椒
63,广藿香
64,粉红胡椒
65,薄荷
66,劳丹脂
67,肉豆蔻
68,梨
69,草莓
70,艾蒿
71,罗勒
72,杜松
73,芫荽
74,肉桂
75,当归
76,葛缕子
77,依兰
78,橙花油
79,蜂蜡
80,茶叶
81,树莓
82,开心果
83,焦糖
84,桃子
85,鸢尾花
86,黑加仑
87,紫罗兰叶
88,百里香
89,甘草
90,咖啡
91,蜜橘
92,水
93,睡莲
94,八角
95,红浆果
96,蜂蜜
97,月桂叶
98,马郁兰
99,橄榄树
100,桃金娘
101,公丁香
102,龙蒿
103,鼠尾草
104,水仙花
105,孜然
106,麝猫香
107,海狸香
108,醋栗叶
109,提亚蕾花
110,木兰
111,杏
112,山茶花
113,黄瓜
114,桦木
115,苦橙
116,马蹄莲
117,晚香玉
118,千金子藤
119,棉花
120,忍冬
121,鸢尾根
122,脂粉味
123,油桃
124,罂粟花
125,报春花
126,红杉
127,仙客来
128,快乐鼠尾草
129,藏红花
130,花椒
131,杜松子
132,榄香脂
133,开司米木
134,黑莓
135,小苍兰
136,醛
137,桂花
138,柏树
139,苹果
140,果香
141,苦艾酒
142,咖喱树
143,甜椒
144,不凋花
145,荔枝
146,柚子
147,马黛茶
148,白松香
149,秘鲁香脂
150,莲花
151,石榴
152,金橘
153,黄兰
154,黑檀红木
155,杜鹃花
156,没药
157,绒面革
158,山楂
159,青草
160,干草
161,莎草
162,乳香
163,琥珀木
164,番石榴
165,果仁糖
